iter	Quantile:alpha=0.95
0	10.52028878
1	9.386302811
2	8.364020184
3	7.485726526
4	6.803907739
5	6.23286389
6	5.74723308
7	5.352248066
8	5.034992796
9	4.731214076
10	4.458146194
11	4.239037921
12	4.006881813
13	3.79360692
14	3.635837835
15	3.490182895
16	3.366705656
17	3.233939955
18	3.124141146
19	3.023543303
20	2.918540384
21	2.807193679
22	2.720805392
23	2.647377633
24	2.562954967
25	2.477981683
26	2.409812156
27	2.347448706
28	2.2950776
29	2.234890752
30	2.177736655
31	2.129887764
32	2.084333137
33	2.041377721
34	2.000446079
35	1.956440208
36	1.914219194
37	1.879033867
38	1.846248942
39	1.811838272
40	1.779406092
41	1.748455378
42	1.718698691
43	1.692863859
44	1.671107339
45	1.650593157
46	1.63124789
47	1.609079202
48	1.592470091
49	1.574316676
50	1.562975672
51	1.548529192
52	1.537022236
53	1.519957788
54	1.502713028
55	1.489013444
56	1.481269648
57	1.471216997
58	1.459462787
59	1.449760485
60	1.442256036
61	1.432608365
62	1.424862373
63	1.416014398
64	1.407429263
65	1.401371319
66	1.395390312
67	1.386775801
68	1.380043005
69	1.373480767
70	1.367897158
71	1.361813915
72	1.357282541
73	1.352701324
74	1.34744929
75	1.341626567
76	1.336691596
77	1.332093858
78	1.32732749
79	1.322049725
80	1.316908592
81	1.312769923
82	1.308467127
83	1.304291625
84	1.300338869
85	1.297008245
86	1.293487358
87	1.290345425
88	1.283958356
89	1.281036451
90	1.277943413
91	1.271608819
92	1.269225381
93	1.266295941
94	1.26149996
95	1.258944838
96	1.25345538
97	1.251190095
98	1.248167817
99	1.245966097
100	1.243031237
101	1.240207909
102	1.235951587
103	1.233949368
104	1.231508741
105	1.225528542
106	1.222898903
107	1.22074741
108	1.214941376
109	1.213524742
110	1.209037677
111	1.207345849
112	1.20568294
113	1.203095909
114	1.200696459
115	1.199309739
116	1.195193682
117	1.192506303
118	1.190699143
119	1.189046372
120	1.186327177
121	1.184484469
122	1.178543516
123	1.176168916
124	1.174530566
125	1.171210289
126	1.167078471
127	1.161626283
128	1.158989606
129	1.155888536
130	1.15490754
131	1.152756096
132	1.149191278
133	1.148067436
134	1.146161198
135	1.144852075
136	1.143761965
137	1.141568108
138	1.140075244
139	1.138823134
140	1.134965008
141	1.129871774
142	1.126836787
143	1.122722807
144	1.120780115
145	1.115577722
146	1.112819076
147	1.109117433
148	1.107343245
149	1.105389172
150	1.102538033
151	1.098430265
152	1.097494396
153	1.095057626
154	1.093517751
155	1.092388326
156	1.089535008
157	1.087200207
158	1.085355574
159	1.084303985
160	1.082786916
161	1.080007633
162	1.07851986
163	1.076903531
164	1.075816031
165	1.074823529
166	1.073534599
167	1.071733103
168	1.069772966
169	1.068491718
170	1.066585982
171	1.063642007
172	1.06160748
173	1.059428376
174	1.056914713
175	1.055968909
176	1.054073895
177	1.053063085
178	1.050283462
179	1.047705699
180	1.046672754
181	1.044958902
182	1.04390369
183	1.042427801
184	1.041865604
185	1.038038551
186	1.035149909
187	1.034135757
188	1.032874164
189	1.030713625
190	1.02829035
191	1.027234062
192	1.026290959
193	1.025543399
194	1.023216838
195	1.021556658
196	1.020187245
197	1.018363618
198	1.015917007
199	1.015056702
200	1.014092117
201	1.013194712
202	1.012711445
203	1.009868181
204	1.007870806
205	1.006929723
206	1.005855774
207	1.003877448
208	1.002670496
209	1.001862589
210	1.001057422
211	1.000137116
212	0.9989448932
213	0.9976931178
214	0.9970455366
215	0.9957115564
216	0.994707801
217	0.9939760743
218	0.9930923695
219	0.9920084522
220	0.991331223
221	0.9907350629
222	0.9898374247
223	0.9887314754
224	0.9879128943
225	0.9863042349
226	0.9856654944
227	0.9847240791
228	0.9839950379
229	0.9825996208
230	0.9818395277
231	0.9812757862
232	0.979837632
233	0.9772541201
234	0.9760696853
235	0.9739720449
236	0.9726900581
237	0.9719495324
238	0.9716310574
239	0.9703668768
240	0.9685053355
241	0.9678696154
242	0.9659589202
243	0.9649970979
244	0.9633549075
245	0.9626745731
246	0.9623133415
247	0.9617059326
248	0.9608702596
249	0.9603346683
250	0.9596889896
251	0.9585891875
252	0.9581498885
253	0.9567633191
254	0.9564207464
255	0.9560399741
256	0.9546997504
257	0.9531626539
258	0.9525987136
259	0.951576286
260	0.9496075395
261	0.9486597878
262	0.9478958125
263	0.9472534454
264	0.946044798
265	0.9449046753
266	0.9444339347
267	0.9434952618
268	0.9427483168
269	0.9417724634
270	0.9413015713
271	0.9407159863
272	0.9400984273
273	0.9394725861
274	0.9390115325
275	0.9378275945
276	0.9375934112
277	0.9369084818
278	0.9356541588
279	0.9350883151
280	0.9331160694
281	0.9324764363
282	0.9319583352
283	0.9310933417
284	0.9304730143
285	0.929959255
286	0.9287592738
287	0.9281131272
288	0.9274483939
289	0.9268687259
290	0.9257712085
291	0.9256130237
292	0.9244290599
293	0.9238394844
294	0.923051993
295	0.9210799371
296	0.9201520083
297	0.9192467712
298	0.9187059469
299	0.9170628321
300	0.9163066511
301	0.9158915873
302	0.9151332758
303	0.9148410054
304	0.9145928825
305	0.9136641363
306	0.9132346361
307	0.9128367672
308	0.9118295352
309	0.9114043843
310	0.9106203792
311	0.9103310058
312	0.9098556898
313	0.90914893
314	0.9081367079
315	0.9073167028
316	0.9067762316
317	0.9059587015
318	0.9054828761
319	0.904935286
320	0.9046269385
321	0.9039817033
322	0.9034502014
323	0.9029849288
324	0.9028591048
325	0.9024505927
326	0.9020309372
327	0.9013721119
328	0.9009831735
329	0.8999188289
330	0.8992355679
331	0.8987528922
332	0.8971171958
333	0.8967022932
334	0.896529385
335	0.8961624607
336	0.8957684911
337	0.8952461361
338	0.8943657884
339	0.8938490114
340	0.8933282499
341	0.8930370205
342	0.8928735539
343	0.8925038704
344	0.892164432
345	0.8914136513
346	0.8910018828
347	0.8897649922
348	0.8894735354
349	0.8892888511
