iter	Passed	Remaining
0	57	28573
1	60	14940
2	62	10401
3	65	8136
4	68	6764
5	71	5863
6	73	5200
7	76	4706
8	79	4318
9	81	3996
10	84	3735
11	86	3518
12	88	3328
13	91	3170
14	93	3028
15	95	2902
16	98	2792
17	100	2698
18	103	2613
19	105	2534
20	107	2460
21	109	2389
22	112	2335
23	114	2276
24	117	2225
25	119	2178
26	121	2133
27	123	2088
28	126	2048
29	128	2015
30	130	1981
31	133	1946
32	135	1915
33	137	1887
34	140	1860
35	142	1834
36	144	1809
37	146	1783
38	149	1764
39	151	1743
40	153	1722
41	156	1703
42	158	1686
43	161	1669
44	163	1651
45	165	1635
46	168	1619
47	171	1610
48	173	1594
49	175	1578
50	177	1561
51	179	1544
52	181	1529
53	183	1513
54	185	1500
55	187	1485
56	189	1472
57	191	1459
58	193	1445
59	195	1434
60	197	1424
61	200	1413
62	202	1403
63	204	1392
64	206	1382
65	208	1372
66	211	1363
67	213	1353
68	215	1344
69	217	1337
70	219	1328
71	221	1319
72	224	1311
73	226	1302
74	228	1294
75	230	1285
76	232	1277
77	234	1267
78	236	1258
79	238	1251
80	240	1244
81	242	1235
82	244	1226
83	246	1218
84	248	1211
85	249	1203
86	251	1196
87	253	1189
88	255	1181
89	258	1176
90	261	1173
91	263	1167
92	264	1159
93	267	1153
94	269	1147
95	270	1140
96	273	1134
97	275	1129
98	277	1123
99	279	1117
100	281	1112
101	283	1107
102	285	1102
103	287	1096
104	289	1090
105	291	1084
106	293	1079
107	295	1074
108	298	1069
109	300	1063
110	302	1058
111	304	1054
112	306	1048
113	308	1044
114	310	1040
115	312	1035
116	315	1032
117	317	1027
118	319	1022
119	321	1017
120	323	1012
121	325	1007
122	327	1003
123	329	998
124	331	995
125	333	990
126	335	986
127	338	982
128	340	978
129	342	974
130	343	968
131	346	964
132	347	959
133	349	955
134	352	951
135	354	947
136	355	942
137	358	939
138	360	935
139	362	932
140	364	928
141	367	925
142	368	920
143	370	916
144	372	913
145	375	909
146	377	906
147	379	902
148	382	900
149	384	896
150	386	892
151	388	888
152	390	885
153	392	881
154	394	877
155	396	874
156	398	870
157	400	867
158	402	863
159	404	859
160	406	856
161	409	853
162	411	850
163	413	847
164	415	843
165	417	840
166	419	836
167	421	833
168	424	830
169	426	827
170	428	824
171	430	821
172	432	818
173	434	814
174	436	811
175	439	808
176	441	805
177	443	802
178	445	798
179	447	795
180	449	792
181	451	789
182	454	786
183	456	783
184	458	781
185	460	778
186	463	775
187	465	772
188	467	769
189	470	766
190	472	763
191	474	760
192	476	757
193	478	754
194	480	751
195	482	748
196	485	747
197	487	744
198	490	741
199	492	738
200	494	736
201	497	733
202	500	731
203	502	728
204	504	725
205	506	723
206	508	720
207	511	717
208	513	714
209	515	712
210	517	709
211	520	706
212	522	703
213	524	700
214	526	698
215	529	695
216	531	692
217	533	689
218	535	686
219	537	683
220	539	681
221	541	678
222	543	675
223	546	672
224	548	670
225	550	667
226	552	664
227	555	662
228	557	659
229	559	657
230	562	654
231	564	652
232	566	649
233	568	646
234	570	643
235	573	641
236	575	638
237	577	635
238	579	632
239	581	630
240	583	627
241	586	624
242	588	622
243	590	619
244	592	617
245	595	614
246	597	612
247	600	609
248	602	607
249	605	605
250	607	602
251	609	599
252	611	597
253	613	594
254	616	592
255	618	589
256	621	587
257	623	584
258	625	581
259	627	579
260	629	576
261	632	574
262	634	571
263	636	569
264	638	566
265	640	563
266	643	561
267	645	558
268	647	555
269	649	553
270	651	550
271	653	548
272	655	545
273	658	542
274	660	540
275	662	537
276	664	534
277	666	532
278	669	529
279	671	527
280	673	524
281	675	522
282	677	519
283	679	516
284	681	514
285	684	512
286	686	509
287	688	506
288	690	504
289	693	502
290	695	499
291	697	496
292	699	494
293	701	491
294	703	489
295	706	486
296	708	484
297	710	481
298	712	479
299	714	476
300	717	474
301	719	471
302	721	469
303	723	466
304	726	464
305	728	462
306	731	460
307	734	457
308	736	455
309	738	452
310	741	450
311	743	447
312	745	445
313	747	442
314	749	440
315	751	437
316	753	435
317	755	432
318	758	430
319	760	427
320	763	425
321	765	423
322	767	420
323	769	418
324	772	415
325	774	413
326	777	411
327	779	408
328	781	406
329	784	403
330	786	401
331	788	398
332	790	396
333	792	394
334	794	391
335	797	389
336	799	386
337	801	384
338	803	381
339	806	379
340	808	377
341	810	374
342	813	372
343	815	369
344	817	367
345	819	364
346	822	362
347	825	360
348	827	358
349	830	355
350	832	353
351	834	351
352	837	348
353	839	346
354	841	343
355	844	341
356	846	338
357	848	336
358	850	334
359	853	331
360	855	329
361	858	327
362	859	324
363	862	322
364	864	319
365	866	317
366	868	314
367	871	312
368	873	310
369	875	307
370	877	305
371	880	302
372	882	300
373	884	298
374	887	295
375	890	293
376	892	291
377	894	288
378	896	286
379	898	283
380	900	281
381	903	278
382	905	276
383	907	274
384	909	271
385	912	269
386	914	267
387	916	264
388	918	262
389	921	259
390	923	257
391	925	255
392	927	252
393	930	250
394	932	247
395	934	245
396	937	243
397	939	240
398	941	238
399	944	236
400	946	233
401	949	231
402	951	228
403	953	226
404	955	224
405	957	221
406	960	219
407	962	217
408	964	214
409	966	212
410	968	209
411	970	207
412	973	204
413	975	202
414	977	200
415	979	197
416	982	195
417	983	193
418	985	190
419	987	188
420	990	185
421	992	183
422	994	181
423	996	178
424	998	176
425	1001	173
426	1003	171
427	1006	169
428	1008	166
429	1010	164
430	1012	162
431	1014	159
432	1016	157
433	1019	154
434	1021	152
435	1023	150
436	1025	147
437	1027	145
438	1029	143
439	1032	140
440	1034	138
441	1036	136
442	1039	133
443	1041	131
444	1044	129
445	1046	126
446	1048	124
447	1050	121
448	1053	119
449	1054	117
450	1057	114
451	1059	112
452	1061	110
453	1064	107
454	1066	105
455	1068	103
456	1070	100
457	1073	98
458	1075	96
459	1078	93
460	1080	91
461	1083	89
462	1085	86
463	1087	84
464	1090	82
465	1092	79
466	1094	77
467	1096	74
468	1099	72
469	1101	70
470	1104	68
471	1106	65
472	1109	63
473	1112	61
474	1114	58
475	1117	56
476	1119	53
477	1121	51
478	1123	49
479	1125	46
480	1128	44
481	1130	42
482	1132	39
483	1135	37
484	1137	35
485	1139	32
486	1141	30
487	1143	28
488	1145	25
489	1147	23
490	1149	21
491	1152	18
492	1154	16
493	1157	14
494	1159	11
495	1161	9
496	1164	7
497	1166	4
498	1169	2
499	1171	0
